"","new_resource_sp","resource_sp"
"1","Amphibia","amphibians"
"2","Malus domestica","apple"
"3","Arachnida","arachnids"
"4","Dasypodidae","armadillo"
"5","Dasypodidae","armadillos"
"6","Arthropoda","arthropods"
"7","Timaliidae","babblers"
"8","Bambuseae","bamboo"
"9","Chiroptera","bats"
"10","Coleoptera","beetles"
"11","Aves","birds"
"12","Boa constrictor","boa"
"13","Ursus arctos","brown bear"
"14","Carnivora","carnivores"
"15","Bos taurus","cattle"
"16","Caviidae","cavies"
"17","Chilopoda","centipedes"
"18","Gallus gallus","chickens"
"19","Axis axis","chital"
"20","Blattodea","cockroaches"
"21","Fulica","coots"
"22","Sigmodon","cotton rats"
"23","Bos taurus","cow"
"24","Astacoidea","crayfish"
"25","Gryllidae","crickets"
"26","Crustacea","crustaceans"
"27","Cervidae","deer"
"28","Cuon alpinus","dhole"
"29","Canis lupus familiaris","dog"
"30","Canis lupus familiaris","dogs"
"31","Anas","ducks"
"32","Lumbricina","earthworms"
"33","Elephantidae","elephants"
"34","Ficus","figs"
"35","Actinopterygii","fish"
"36","Pteromyini","flying squirrels"
"37","Anura","frogs"
"38","Gastropoda","gastropods"
"39","Gekkonidae","geckos"
"40","Gerbillinae","gerbils"
"41","Ailuropoda melanoleuca","giant panda"
"42","Capra hircus","goat"
"43","Capra hircus","goats"
"44","Cyamopsis tetragonoloba","guar"
"45","Cricetinae","hamsters"
"46","Lepus","hares"
"47","Tetrastes bonasia","hazel grouse"
"48","Capra ibex","ibex"
"49","Hexapoda","insects"
"50","Dipodidae","jerboas"
"51","Ovis aries","lambs"
"52","Lemuridae","lemurs"
"53","Panthera pardus","leopard"
"54","Mammalia","mammals"
"55","Cervus elaphus xanthopygus","manchurian wapiti"
"56","Metatheria","marsupials"
"57","Mus","mice"
"58","Diplopoda","millipedes"
"59","Mollusca","molluscs"
"60","Mollusca","mollusks"
"61","Lepidoptera","moths"
"62","Lepus timidus","mountain hare"
"63","Moschidae","musk deer"
"64","Myriapoda","myriapods"
"65","Boselaphus tragocamelus","nilgai"
"66","Didelphidae","opossums"
"67","Manidae","pangolins"
"68","Carica papaya","papaya"
"69","Pavo","peafowls"
"70","Sus scrofa","pig"
"71","Sus scrofa","pigs"
"72","Ochotonidae","pikas"
"73","Ananas comosus","pineapple"
"74","Embryophyta","plants"
"75","Cydonia oblonga","quince"
"76","Oryctolagus cuniculus","rabbits"
"77","Nyctereutes procyonoides","raccoon dog"
"78","Rattus","rats"
"79","Cervus elaphus","red deer"
"80","Ailurus fulgens","red panda"
"81","Rangifer tarandus","reindeer"
"82","Rhinocerotidae","rhinoceroses"
"83","Rusa unicolor","sambar"
"84","Rusa unicolor","sambar deer"
"85","Scorpiones","scorpions"
"86","Ovis aries","sheep"
"87","Soricidae","shrews"
"88","Scincidae","skinks"
"89","Melursus ursinus","sloth bear"
"90","Serpentes","snakes"
"91","Passeridae","sparrows"
"92","Araneae","spiders"
"93","Sciuromorpha","squirrels"
"94","Tapiridae","tapirs"
"95","Termitoidae","termites"
"96","Tinamiformes","tinamous"
"97","Testudinidae","tortoises"
"98","Hylidae","tree frogs"
"99","Tupaiidae","tree shrews"
"100","Testudines","turtles"
"101","Vertebrata","vertebrates"
