"","order","adult_mass_g","brain_mass_g","adult_body_length_mm","max_longevity_d","female_maturity_d","age_first_reproduction_d","gestation_length_d","litter_size_n","litters_per_year_n","interbirth_interval_d","weaning_age_d","generation_length_d","dispersal_km","hibernation_torpor","fossoriality","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","trophic_level","activity_cycle","foraging_stratum","terrestrial_non.volant","terrestrial_volant","habitat_breadth_n","family","genus","species","iucn2020_binomial","phylacine_binomial"
"1","Rodentia",268.09,2.91,228,971.896,124.913,166.631,35.373,2.328,3.686,55.581,27.621,649.101,0.514,"0","2",0,0,100,0,0,0,0,0,0,0,0,0,100,1,"1","1","2","1","0","1","Muridae","Abditomys","latidens","Abditomys latidens","Abditomys latidens"
"2","Rodentia",57.89,1.49,158.645,1186.332,167.752,194.735,36.734,1,2.362,90.95,36.87,745.935,0.221,"0","2",19,3,78,20.1,0.0999999999999578,-3.88578058618805e-15,-3.10929060276521e-14,1.29999999999999,-1.59117163889277e-14,21.2,0.0999999999999963,31.63125,32.7,3,"2","1","0","1","0","2","Muridae","Abeomelomys","sevia","Abeomelomys sevia","Abeomelomys sevia"
"3","Rodentia",62.99,1.161,169.117,1023.801,85.15,113.733,25.626,3.843,3.261,35.812,23.94,525.742,0.232,"0","1",11,1,88,8.79999999999998,-4.77040629220937e-14,-5.02486940945346e-15,-3.61577434659921e-14,0.099999999999991,-1.85718107559296e-14,6.1,-1.08979492097205e-14,26.7,51.4435087719298,2,"2","2","0","1","0","1","Cricetidae","Abrawayaomys","ruschii","Abrawayaomys ruschii","Abrawayaomys ruschii"
"4","Rodentia",265.5,4.219,250,851.667,244.685,317.485,98.875,3,2,115.543,40.988,1009.175,0.511,"0","2",0,0,100,0,0,0,0,0,0,0,0,0,100,1,"1","1","0","1","0","2","Abrocomidae","Abrocoma","bennettii","Abrocoma bennettii","Abrocoma bennettii"
"5","Rodentia",158,3.145,198.49,1151.704,236.466,314.574,97.008,2.591,2.094,104.844,32.992,865.002,0.384,"0","1",0,0,100,0,0,0,0,0,0,0,0,0,100,1,"1","1","0","1","0","2","Abrocomidae","Abrocoma","boliviensis","Abrocoma boliviensis","Abrocoma boliviensis"
"6","Rodentia",221.82,3.986,201,395.417,277.442,352.656,112.269,1.995,1.869,127.351,41.966,1084.888,0.463,"0","2",0,0,100,0.0999999999999722,0.699999999999956,-6.55919762948542e-15,-3.49098527863134e-14,-7.52287121486006e-15,-2.00284233642378e-14,16.5,2.4,5.3,72.6,1,"1","1","0","1","0","2","Abrocomidae","Abrocoma","budini","Abrocoma budini","Abrocoma budini"
"7","Rodentia",221.82,3.239,201,395.417,251.621,330.572,112.269,1.995,1.923,119.793,39.992,1053.426,0.463,"0","2",0,0,100,0,0,0,0,0,0,0,0,0,100,1,"1","1","0","1","0","2","Abrocomidae","Abrocoma","cinerea","Abrocoma cinerea","Abrocoma cinerea"
"8","Rodentia",221.82,3.225,201,395.417,255,333.157,112.269,1.995,1.918,120.019,39.511,1051.406,0.463,"0","2",0,0,100,-2.71427325060358e-14,-4.43645120640213e-14,0.599999999999993,-3.41193739927803e-14,-7.53175299905706e-15,0.0999999999999785,13.6,2.5,6.7,78.4,1,"1","1","0","1","0","2","Abrocomidae","Abrocoma","famatina","Abrocoma famatina","Abrocoma famatina"
"9","Rodentia",221.82,3.208,201,395.417,239.332,318.804,112.269,1.995,1.97,114.127,37.684,1025.361,0.463,"0","2",0,0,100,-2.75690581474919e-14,-4.43733938482183e-14,-7.30748794808278e-15,-3.69748676121162e-14,-7.60502771868232e-15,-2.30393482070212e-14,13.1,2.6,6.6,75.7571428571429,1,"1","1","0","1","0","2","Abrocomidae","Abrocoma","shistacea","Abrocoma shistacea","Abrocoma shistacea"
"10","Rodentia",164.279,2.997,198.38,1429.837,243.084,318.923,97.388,2.556,2.053,107.629,33.016,873.351,0.393,"0","1",0,0,100,-2.99138491755002e-14,-5.20516962865258e-14,-9.08828567958153e-15,-4.30411262186681e-14,-8.37996338987068e-15,-2.8235191962267e-14,5.89999999999999,-1.01829655818619e-14,6,81.7,1,"1","1","0","1","0","3","Abrocomidae","Abrocoma","uspallata","Abrocoma uspallata","Abrocoma uspallata"
