"","iucn.bin","iucn.category"
"1","Rhinolophus hipposideros","LC"
"6","Eumops delticus","DD"
"7","Myotis soror","DD"
"8","Eulemur fulvus","NT"
"11","Presbytis rubicunda","LC"
"13","Tapirus indicus","EN"
"15","Hystrix javanica","LC"
"20","Amblysomus hottentotus","LC"
"21","Taeromys arcuatus","LC"
"22","Microtus savii","LC"
"24","Lonchophylla dekeyseri","EN"
"25","Maxomys alticola","LC"
"26","Allactaga hotsoni","LC"
"27","Myotis moluccarum","LC"
"30","Tupaia tana","LC"
"35","Poiana leightoni","VU"
"36","Cryptomys natalensis","LC"
"37","Castor canadensis","LC"
"38","Reithrodontomys mexicanus","LC"
"39","Crocidura crossei","LC"
"40","Dasyurus viverrinus","EN"
"41","Kerivoula whiteheadi","LC"
"42","Pteropus pumilus","NT"
"51","Semnopithecus entellus","LC"
"53","Hystrix sumatrae","LC"
"54","Neurotrichus gibbsii","LC"
"55","Cercopithecus wolfi","NT"
"56","Alticola roylei","NT"
"57","Rhynchocyon udzungwensis","VU"
"58","Phyllostomus latifolius","LC"
"59","Sorex stizodon","CR"
"60","Akodon polopi","LC"
"61","Crocidura poensis","LC"
"62","Oecomys trinitatis","LC"
"64","Hesperoptenus doriae","DD"
"65","Macropus parryi","LC"
"66","Murina rozendaali","VU"
"68","Nyctimene keasti","VU"
"69","Taeromys taerae","VU"
"70","Plecturocebus oenanthe","CR"
"71","Chaetodipus artus","LC"
"72","Nycticebus menagensis","VU"
"73","Chiropodomys calamianensis","DD"
"74","Nyctalus plancyi","LC"
"76","Cercartetus concinnus","LC"
"77","Bathyergus janetta","LC"
"78","Ochotona turuchanensis","LC"
"79","Pattonomys occasius","DD"
"80","Crocidura mdumai","EN"
"81","Miniopterus schreibersii","NT"
"97","Trinomys setosus","LC"
"98","Lycaon pictus","EN"
"100","Meriones sacramenti","VU"
"101","Lagothrix cana","EN"
"102","Dasyprocta croconota","DD"
"103","Mus bufo","LC"
"104","Dobsonia chapmani","CR"
"105","Aselliscus tricuspidatus","LC"
"107","Hipposideros lekaguli","NT"
"108","Plecturocebus caquetensis","CR"
"109","Lophiomys imhausi","LC"
"110","Archboldomys luzonensis","VU"
"111","Chiropotes chiropotes","LC"
"112","Sigmodon arizonae","LC"
"113","Leptomys arfakensis","DD"
"114","Chlorocebus pygerythrus ssp. nesiotes","VU"
"115","Lonchophylla handleyi","LC"
"116","Chalinolobus gouldii","LC"
"120","Genetta angolensis","LC"
"121","Microcebus griseorufus","LC"
"122","Aeromys tephromelas","DD"
"124","Gerbilliscus kempi","LC"
"125","Loxodontomys micropus","LC"
"126","Kerivoula pellucida","NT"
"130","Lepus californicus","LC"
"131","Thomasomys auricularis","DD"
"132","Balantiopteryx infusca","VU"
"133","Microcebus bongolavensis","EN"
"134","Carollia castanea","LC"
"135","Microcebus mamiratra","CR"
"136","Exilisciurus whiteheadi","LC"
"137","Thylogale brunii","VU"
"141","Neoromicia nana","LC"
"143","Alouatta belzebul","VU"
"144","Dasypus sabanicola","NT"
"145","Ctenomys mendocinus","LC"
"146","Leptonycteris yerbabuenae","NT"
"147","Madoqua saltiana","LC"
"148","Mustela nivalis","LC"
"158","Avahi cleesei","EN"
"159","Plecotus auritus","LC"
"162","Eptesicus andinus","LC"
"163","Sylvilagus tapetillus","VU"
"164","Tupaia gracilis","LC"
"165","Choeropsis liberiensis","EN"
"167","Micronycteris megalotis","LC"
"168","Miniopterus aelleni","LC"
"169","Rhinolophus pusillus","LC"
"174","Nycteris grandis","LC"
"176","Lepilemur hubbardorum","EN"
"177","Cricetus cricetus","LC"
"178","Myotis borneoensis","DD"
"179","Abrocoma boliviensis","CR"
"180","Peromyscus caniceps","CR"
"181","Rhinolophus borneensis","LC"
"185","Nilopegamys plumbeus","CR"
"186","Melomys obiensis","LC"
"187","Crocidura hildegardeae","LC"
"188","Cercocebus atys","NT"
"189","Myosorex jejei","VU"
"190","Geoxus valdivianus","LC"
"191","Wyulda squamicaudata","NT"
"193","Piliocolobus kirkii","EN"
"194","Proechimys semispinosus","LC"
"195","Marmosa tyleriana","DD"
"196","Peromyscus mexicanus","LC"
"197","Otocolobus manul","NT"
"199","Crocidura voi","LC"
"200","Gerbillus rupicola","LC"
"201","Allactaga sibirica","LC"
"202","Muntiacus gongshanensis","DD"
"204","Panthera onca","NT"
"210","Bettongia tropica","EN"
"211","Limnogale mergulus","VU"
"212","Taphozous australis","NT"
"216","Hipposideros khasiana","DD"
"217","Habromys lepturus","CR"
"218","Pseudomys nanus","LC"
"219","Miniopterus brachytragos","LC"
"220","Crocidura monax","DD"
"221","Callithrix jacchus","LC"
"222","Pteropus hypomelanus","LC"
"225","Sigmodon hirsutus","LC"
"226","Pipistrellus paterculus","LC"
"227","Brachyphylla cavernarum","LC"
"230","Hipposideros speoris","LC"
"231","Leopardus pardalis","LC"
"232","Ctenomys pearsoni","NT"
"233","Notopteris macdonaldi","VU"
"235","Marmosops fuscatus","DD"
"236","Petaurista philippensis","LC"
"237","Cratogeomys merriami","LC"
"238","Catopuma temminckii","NT"
"239","Marmota vancouverensis","CR"
"240","Felis chaus","LC"
"241","Pteropus admiralitatum","LC"
"249","Abrothrix lanosus","LC"
"250","Panthera leo","VU"
"268","Scotonycteris ophiodon","NT"
"269","Myzopoda schliemanni","LC"
"270","Tupaia everetti","LC"
"271","Callithrix flaviceps","EN"
"272","Petaurus norfolcensis","LC"
"273","Rhabdomys bechuanae","LC"
"274","Dendrolagus mayri","CR"
"275","Chrysospalax villosus","VU"
"276","Ateles chamek","EN"
"277","Echimys chrysurus","LC"
"278","Pteropus samoensis","NT"
"284","Mormopterus ridei","LC"
"285","Cynocephalus volans","LC"
"290","Bassaricyon alleni","LC"
"291","Corynorhinus townsendii","LC"
"292","Peromyscus keeni","LC"
"293","Ochotona roylei","LC"
"294","Sundasciurus philippinensis","LC"
"296","Cercopithecus mitis ssp. albogularis","LC"
"297","Surdisorex polulus","DD"
"298","Pipistrellus maderensis","VU"
"299","Hypsugo bemainty","LC"
"300","Ctenomys boliviensis","LC"
"303","Miopithecus talapoin","VU"
"305","Sturnira bogotensis","LC"
"306","Rusa unicolor","VU"
"310","Eospalax fontanierii","LC"
"311","Herpestes sanguineus","LC"
"312","Otolemur garnettii ssp. lasiotis","LC"
"313","Potorous tridactylus","NT"
"316","Punomys kofordi","VU"
"317","Crocidura vosmaeri","DD"
"318","Petaurista mishmiensis","NT"
"319","Ctenomys maulinus","LC"
"320","Mesomys leniceps","DD"
"321","Erophylla bombifrons","LC"
"322","Glaucomys volans","LC"
"323","Muntiacus vaginalis","LC"
"326","Monodelphis americana","LC"
"327","Pteropus conspicillatus","LC"
"329","Myodes californicus","LC"
"330","Tragelaphus strepsiceros","LC"
"331","Lycalopex culpaeus","LC"
"332","Cercopithecus ascanius ssp. ascanius","LC"
"333","Proechimys guairae","LC"
"334","Viverra tangalunga","LC"
"337","Mosia nigrescens","LC"
"347","Eliurus grandidieri","LC"
"348","Microcebus margotmarshae","EN"
"349","Rhinolophus mitratus","DD"
"350","Macaca cyclopis","LC"
"351","Blanfordimys afghanus","LC"
"352","Vulpes lagopus","LC"
"354","Phoniscus papuensis","LC"
"357","Capra falconeri","NT"
"364","Rhinolophus hilli","CR"
"365","Rhinolophus maclaudi","EN"
"366","Cephalophus spadix","EN"
"367","Acomys wilsoni","LC"
"368","Eolagurus przewalskii","LC"
"369","Dipodomys simulans","LC"
"370","Apomys musculus","LC"
"371","Calcochloris obtusirostris","LC"
"372","Chiropotes satanas","CR"
"373","Calomyscus mystax","LC"
"374","Chaetodipus fallax","LC"
"375","Hypsugo savii","LC"
"376","Sorex ventralis","LC"
"377","Rhinosciurus laticaudatus","NT"
"381","Cricetomys gambianus","LC"
"382","Scotophilus nux","LC"
"383","Mops petersoni","NT"
"384","Crocidura picea","EN"
"385","Scotoecus albofuscus","DD"
"386","Alouatta nigerrima","LC"
"387","Epomophorus wahlbergi","LC"
"388","Pseudomys fieldi","VU"
"391","Macaca tonkeana","VU"
"392","Cryptotis celaque","DD"
"393","Ratufa indica","LC"
"394","Tragelaphus eurycerus","NT"
"395","Microcebus sambiranensis","EN"
"396","Hipposideros sumbae","LC"
"399","Myosorex blarina","EN"
"400","Myotis occultus","LC"
"401","Saccolaimus saccolaimus","LC"
"404","Hyperacrius fertilis","NT"
"405","Mops nanulus","LC"
"406","Idionycteris phyllotis","LC"
"407","Lasiopodomys brandtii","LC"
"408","Nectomys apicalis","LC"
"409","Eligmodontia puerulus","LC"
