"","reg","site","connectance","web asymmetry","links per species","number of compartments","compartment diversity","cluster coefficient","nestedness","NODF","weighted nestedness","weighted NODF","interaction strength asymmetry","specialisation asymmetry","linkage density","weighted connectance","Fisher alpha","Shannon diversity","interaction evenness","Alatalo interaction evenness","H2","number.of.species.HL","number.of.species.LL","mean.number.of.shared.partners.HL","mean.number.of.shared.partners.LL","cluster.coefficient.HL","cluster.coefficient.LL","weighted.cluster.coefficient.HL","weighted.cluster.coefficient.LL","niche.overlap.HL","niche.overlap.LL","togetherness.HL","togetherness.LL","C.score.HL","C.score.LL","V.ratio.HL","V.ratio.LL","discrepancy.HL","discrepancy.LL","extinction.slope.HL","extinction.slope.LL","robustness.HL","robustness.LL","functional.complementarity.HL","functional.complementarity.LL","partner.diversity.HL","partner.diversity.LL","generality.HL","vulnerability.LL","consumer_degree","consumer_normalised.degree","resource_degree","resource_normalised.degree"
"1","afr","Aberdare",1,-0.333333333333333,1.33333333333333,1,NA,1,NA,0,NA,0,0,NA,3,0.5,2147483652,2.07944154167984,1,1,0,2,4,4,2,1,1,0,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,8.29012745251263,NA,1,1,0,0,1.38629436111989,0.693147180559945,4,2,4,1,2,1
"2","afr","Abijatta Shalla",1,-0.333333333333333,1.33333333333333,1,NA,1,NA,0,NA,0,0,NA,3,0.5,2147483652,2.07944154167984,1,1,0,2,4,4,2,1,1,0,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,8.32997260134531,NA,1,1,0,0,1.38629436111989,0.693147180559945,4,2,4,1,2,1
"3","afr","Abou Telfane",0.666666666666667,-0.142857142857143,1.14285714285714,1,NA,0.75,27.9998021561197,66.6666666666667,0.288256227758008,0,0,NA,2.625,0.375,2147483652,2.07944154167984,0.836828836953389,1,0,3,4,2,1.16666666666667,0.666666666666667,0.666666666666667,0,0,0.755555555555556,0.5,0.444444444444444,0,0.333333333333333,1,0.5,1.6,1,1,2.36181636306154,3.92215590774495,0.628125,0.793333333333333,3.41421356237309,4.24264068711929,0.963457252632055,0.549306144334055,2.66666666666667,2,3,0.75,2,0.666666666666667
"4","afr","Addax",0.833333333333333,-0.2,1,1,NA,0.833333333333333,0,75,NA,0,0,NA,2.2,0.44,2147483650.5,1.6094379124341,0.898244401703927,1,0,2,3,2,1.33333333333333,0.833333333333333,0.833333333333333,0,NA,0.8,0.777777777777778,NA,0,NA,NA,1,1,0,0,2.56143073357789,4.11793437767575,0.836666666666666,0.75,2,2,0.895879734614027,0.462098120373297,2.5,1.66666666666667,2.5,0.833333333333333,2,1
"5","afr","Ai Ais",1,-0.333333333333333,0.666666666666667,1,NA,1,NA,NA,NA,NA,NA,NA,1.5,0.5,268435505.000009,0.693147180559945,1,1,NA,1,2,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,NA,6.32146043985263,NA,1,0,0,0.693147180559945,0,2,1,2,1,1,1
"6","afr","Air and Tenere",0.833333333333333,-0.2,1,1,NA,0.833333333333333,0,75,NA,0,0,NA,2.2,0.44,2147483650.5,1.6094379124341,0.898244401703927,1,0,2,3,2,1.33333333333333,0.833333333333333,0.833333333333333,0,NA,0.8,0.777777777777778,NA,0,NA,NA,1,1,0,0,2.53942642442346,3.99549059212556,0.833333333333333,0.75,2,2,0.895879734614027,0.462098120373297,2.5,1.66666666666667,2.5,0.833333333333333,2,1
"7","afr","Akagera",0.777777777777778,-0.333333333333333,1.55555555555556,1,NA,0.833333333333333,25.4219910201998,55.5555555555556,0.210998206814106,0,0,NA,3.71428571428571,0.412698412698413,4294967303,2.63905732961526,0.91305117495895,1,0,3,6,4,1.73333333333333,0.777777777777778,0.777777777777778,0.580645161290323,1,0.859259259259259,0.666666666666667,0.533333333333333,0,0.333333333333333,1,0.5,1.77777777777778,1,1,3.3536308775531,8.08339368634721,0.665,0.891011917542469,3.41421356237309,4.24264068711929,1.5350567286627,0.732408192445406,4.66666666666667,2.33333333333333,5,0.833333333333333,3,1
"8","afr","Amboseli",0.777777777777778,-0.333333333333333,1.55555555555556,1,NA,0.833333333333333,25.4219910201998,55.5555555555556,0.276077657124054,0,0,NA,3.71428571428571,0.412698412698413,4294967303,2.63905732961526,0.91305117495895,1,0,3,6,4,1.73333333333333,0.777777777777778,0.777777777777778,0.580645161290323,1,0.859259259259259,0.666666666666667,0.533333333333333,0,0.333333333333333,1,0.5,1.77777777777778,1,1,3.43407110225649,7.15888502994315,0.6675,0.880218256730075,3.41421356237309,4.24264068711929,1.5350567286627,0.732408192445406,4.66666666666667,2.33333333333333,5,0.833333333333333,3,1
"9","afr","Ansongo Menaka",1,-0.333333333333333,0.666666666666667,1,NA,1,NA,NA,NA,NA,NA,NA,1.5,0.5,268435505.000009,0.693147180559945,1,1,NA,1,2,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,1,0,0,0.693147180559945,0,2,1,2,1,1,1
"10","afr","Arabuko Sokoke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
